标题,总价,单价,面积,户型,楼层,建成年份,小区,区域,标签,链接,关注人数,发布时间
"龙湖横厅3房，业主安心卖，看房方便","220万","17,199元/平","127.92平米","3室2厅","低楼层                                     (共33层)","2017年","新江与城清晖时光","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106113898326.html","0人关注","2年前发布"
"龙湖品质 高楼层 视野开阔 户型方正","165万","12,884元/平","128.07平米","3室1厅","高楼层                                     (共40层)","2017年","新江与城清晖时光","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106113850445.html","28人关注","2年前发布"
"新江与城清晖时光横厅大三房 看公园安静 视野开阔","185万","14,231元/平","130平米","中楼层                                     (共33层)                                                                   3室2厅","未知","未知","新江与城清晖时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106113102322.html","1人关注","2年前发布"
"大竹林轻轨站旁龙湖阔景高层，业主诚心出售","170万","13,274元/平","128.07平米","3室2厅","低楼层                                     (共40层)","2018年","新江与城清晖时光","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106113087889.html","0人关注","2年前发布"
"一线看江，全屋中 央空调9成新，带两个车位","170万","14,978元/平","113.5平米","3室2厅","高楼层                                     (共40层)","2018年","新江与城清晖时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106112680743.html","8人关注","2年前发布"
"龙湖清晖时光大三房，看公园 部分看江 视野开阔无遮挡","200万","15,482元/平","129.19平米","中楼层                                     (共33层)                                                                   3室2厅","未知","未知","新江与城清晖时光","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106112297348.html","1人关注","2年前发布"
"龙湖品质，次新房，中间楼层，采光好。视野无遮挡","155万","12,016元/平","129平米","中楼层                                     (共33层)                                                                   3室2厅","未知","未知","新江与城清晖时光","重庆渝北","近地铁;满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106112098681.html","12人关注","3年前发布"
"龙湖品质 改善四房 环境优美 业主诚心出售","168万","14,802元/平","113.5平米","3室1厅","中楼层                                     (共40层)","2017年","新江与城清晖时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106111940290.html","3人关注","3年前发布"
"渝北龙湖品质高层 次新小区 大四房 带车位","159万","10,703元/平","148.56平米","3室2厅","中楼层                                     (共41层)","2016年","新江与城清晖时光","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106111874698.html","19人关注","3年前发布"
"龙湖品质 改善三房 环境优美 业主诚心出售","160万","14,068元/平","113.74平米","中楼层                                     (共33层)                                                                   3室2厅","未知","未知","新江与城清晖时光","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106111230982.html","55人关注","3年前发布"
"江与城 4室1厅 东南","160万","11,679元/平","137平米","4室1厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR房源;新上","https://cq.ke.com/ershoufang/106124148278.html","0人关注","今天发布"
"金科天元道一期三组团 3室1厅 西南","120万","13,548元/平","88.58平米","3室1厅","中楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","VR看装修;新上","https://cq.ke.com/ershoufang/106124078067.html","0人关注","7天前发布"
"楠竹苑 3室2厅 南","100万","9,032元/平","110.72平米","中楼层                                     (共11层)                                                                   3室2厅","未知","未知","楠竹苑","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106124048510.html","0人关注","9天前发布"
"轻轨站旁 龙湖品质 楼层好 配套成熟 视野好","190万","13,033元/平","145.79平米","4室2厅","中楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106123964554.html","0人关注","16天前发布"
"龙湖品质 精装修 保持很新 视野无遮挡","190万","13,859元/平","137.1平米","4室2厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106123820794.html","0人关注","27天前发布"
"大竹林 轻轨电梯三房 精装修带家具家电 出行方便","100万","8,929元/平","112平米","中楼层                                     (共11层)                                                                   3室1厅","未知","未知","楠竹苑","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106123677188.html","2人关注","1月前发布"
"江与城龙湖品质配套成熟（书房看江）","210万","15,210元/平","138.07平米","4室1厅","中楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106123408544.html","1人关注","1月前发布"
"金科品质小区生活配套完善出门即是公园次新小区环境好","120万","13,548元/平","88.58平米","3室2厅","低楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106122932154.html","2人关注","3月前发布"
"金科精装房，住家装修，业主诚心","103万","12,328元/平","83.55平米","3室2厅","高楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106122874957.html","9人关注","3月前发布"
"生活配套完善，高楼层看江，次新小区环境好","110万","12,419元/平","88.58平米","3室2厅","高楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106122525811.html","7人关注","4月前发布"
"江与城 4室2厅 东南","195万","13,376元/平","145.79平米","4室2厅","中楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106122479084.html","1人关注","4月前发布"
"江与城龙湖品质小区配套齐全出行方便","175万","12,675元/平","138.07平米","4室1厅","低楼层                                     (共34层)","2010年","江与城","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106122321089.html","2人关注","4月前发布"
"精装修，业主换房，诚心出售、近轨道临商圈","94万","8,294元/平","113.34平米","高楼层                                     (共11层)                                                                   3室2厅","未知","未知","楠竹苑","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106122089542.html","7人关注","5月前发布"
"轻轨 电梯 三房双卫 精 装 出行方便 配套成熟","105万","8,479元/平","123.84平米","中楼层                                     (共11层)                                                                   3室2厅","未知","未知","楠竹苑","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106121875503.html","3人关注","5月前发布"
"地理位置优越，交通便利配套成熟","98万","7,444元/平","131.65平米","低楼层                                     (共19层)                                                                   3室2厅","未知","未知","大竹林商业中心","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106121769354.html","4人关注","5月前发布"
"带百平+的大露台 精装修三房双卫 可种菜","118万","9,292元/平","127平米","高楼层                                     (共11层)                                                                   3室2厅","未知","未知","楠竹苑","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106121109471.html","8人关注","8月前发布"
"龙湖品质 视野开阔 户型方正 住家安静","160万","10,975元/平","145.79平米","4室2厅","低楼层                                     (共34层)","2010年","江与城","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106120290159.html","26人关注","10月前发布"
"精装大四房 龙湖品质  视野开阔  住家安静","190万","13,033元/平","145.79平米","4室2厅","中楼层                                     (共34层)","2010年","江与城","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106119864939.html","8人关注","11月前发布"
"精装修，业主换房，诚心出售、近轨道临商圈","105万","11,753元/平","89.34平米","低楼层                                     (共11层)                                                                   3室2厅","未知","未知","楠竹苑","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106119841672.html","5人关注","12月前发布"
"大竹林精装修，诚心出售、近轨道临商圈","108万","9,591元/平","112.61平米","中楼层                                     (共11层)                                                                   3室2厅","未知","未知","楠竹苑","重庆渝北","近地铁;满两年;VR房源;随时看房","https://cq.ke.com/ershoufang/106119768474.html","18人关注","1年前发布"
"次新小区，金科品质物业，小区环境好，适合居家","113万","13,525元/平","83.55平米","3室1厅","低楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106119455752.html","12人关注","1年前发布"
"龙湖江与城原山时光 精装修看江两房 拎包入住","105万","13,093元/平","80.2平米","3室2厅","中楼层                                     (共33层)","2017年","龙湖江与城原山时光","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106119063177.html","8人关注","1年前发布"
"房子是清水的，出门就是金科乐方，配套成熟","180万","13,847元/平","130平米","4室1厅","高楼层                                     (共34层)","2010年","江与城","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106119047675.html","0人关注","1年前发布"
"大竹林龙湖精装4房 横厅户型 通风好 采光好 出行方便","160万","11,671元/平","137.1平米","4室2厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106118864935.html","72人关注","1年前发布"
"满五唯一 采光好 装修环保 电梯 三房双卫 出行方便","113万","10,035元/平","112.61平米","低楼层                                     (共11层)                                                                   3室2厅","未知","未知","楠竹苑","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106118357763.html","8人关注","1年前发布"
"轻轨精装房，配套成熟，拎包入住，适合刚需人群","98万","8,094元/平","121.08平米","低楼层                                     (共21层)                                                                   3室2厅","未知","未知","大竹林商业中心","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106117989831.html","13人关注","1年前发布"
"金科品质  朝南住家装修  拎包入住","120万","14,363元/平","83.55平米","3室2厅","中楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106117835618.html","12人关注","1年前发布"
"龙湖江与城精装四房门口就是商圈近轻轨","179万","13,599元/平","131.63平米","4室2厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106117389827.html","32人关注","1年前发布"
"楼层好，视野宽阔，采光充足，配套设施齐全，交通便利","165万","11,951元/平","138.07平米","4室1厅","低楼层                                     (共34层)","2010年","江与城","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106117257166.html","5人关注","1年前发布"
"龙湖品质，精装四房两卫，配套成熟，适合各类人群居住","189万","14,359元/平","131.63平米","4室1厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106117133635.html","3人关注","1年前发布"
"大竹林商圈轻轨旁电梯两房户型方正通风采光好","101万","11,720元/平","86.18平米","3室1厅","中楼层                                     (共25层)","2011年","渝兴新街坊","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106116950161.html","0人关注","1年前发布"
"江与城横厅四房 户型通透 书房看江景 精装 拎包入住","245万","17,871元/平","137.1平米","4室2厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106116485509.html","6人关注","1年前发布"
"龙湖品质4房，户型方正，视野开阔，采光好","154.5万","11,667元/平","132.43平米","4室2厅","中楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106116007584.html","28人关注","1年前发布"
"金科品质小区精装三房中间楼层视野开阔","118万","14,231元/平","82.92平米","3室2厅","中楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106114216271.html","6人关注","2年前发布"
"龙湖物业，正四房，看体育公园，视野开阔","158万","10,838元/平","145.79平米","4室2厅","中楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106114046717.html","24人关注","2年前发布"
"龙湖品质配套成熟，近轻轨，清水房，业主诚心卖","155万","11,776元/平","131.63平米","4室1厅","中楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106113204737.html","52人关注","2年前发布"
"横厅户型  距离商圈近 生活方便 同户型Z低价格","155万","11,227元/平","138.07平米","4室2厅","低楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106112349903.html","207人关注","2年前发布"
"大竹林龙湖品质小区，近轻轨，出门即公园","195万","13,488元/平","144.58平米","4室2厅","中楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106112024261.html","16人关注","3年前发布"
"两江新区 大竹林 龙湖品质4房 户型方正 采光好","225万","15,434元/平","145.79平米","4室1厅","中楼层                                     (共34层)","2010年","江与城","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106111304036.html","3人关注","3年前发布"
"横厅4房，业主安心卖，看房方便","184万","13,421元/平","137.1平米","4室1厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106110868890.html","28人关注","3年前发布"
"小三房，户型好，楼层好，业主诚心出售","99万","11,850元/平","83.55平米","3室2厅","中楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106110778183.html","84人关注","3年前发布"
"龙湖精装四室双卫 装修保持新 拎包入住","280万","19,206元/平","145.79平米","4室2厅","中楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106110316228.html","15人关注","3年前发布"
"商圈旁  公园边 视野开阔 诚意出售","155万","11,705元/平","132.43平米","4室1厅","中楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106109168812.html","18人关注","3年前发布"
"看中庭+视野无遮挡+装修简约不失风格+诚心销售","120万","13,946元/平","86.05平米","3室1厅","高楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106108997855.html","19人关注","3年前发布"
"小三方，户型好，楼层好，业主诚心出售","99.9万","11,957元/平","83.55平米","3室1厅","高楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106108824423.html","165人关注","4年前发布"
"看江精装4房 龙湖品质 视野开阔 采光充足","226万","16,485元/平","137.1平米","4室2厅","中楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106108232212.html","16人关注","4年前发布"
"龙湖品质，精装新四房，没入住过，视野好，可看江","197.5万","15,005元/平","131.63平米","4室2厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106107867458.html","17人关注","4年前发布"
"金科品质小区，配套成熟，次新房。","100万","11,969元/平","83.55平米","3室2厅","中楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106107691598.html","89人关注","4年前发布"
"龙湖品质看江4房，户型方正，视野开阔，采光好","190万","13,859元/平","137.1平米","4室2厅","中楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106667235.html","73人关注","4年前发布"
"龙湖品质 居家好房.值得信赖.","190万","13,033元/平","145.79平米","4室2厅","高楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106647637.html","20人关注","4年前发布"
"龙湖品质小区 横厅四房 视野很好","218万","15,901元/平","137.1平米","4室2厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106459524.html","50人关注","4年前发布"
"龙湖品质，买一层带一层，臻装大户型，带地暖出行方便","283万","21,386元/平","132.33平米","6室2厅","低楼层                                     (共34层)","2010年","江与城","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106104033943.html","362人关注","5年前发布"
"龙湖，两房两卫户型，大阳台，视野好，业主诚心出售","168万","17,143元/平","98平米","高楼层                                     (共31层)                                                                   2室1厅","未知","未知","新江与城悠澜","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106122375504.html","0人关注","4月前发布"
"临江低密度品质小区 龙湖品质物业","165万","16,846元/平","97.95平米","2室2厅","低楼层                                     (共27层)","2020年","新江与城悠澜","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106122290526.html","4人关注","4月前发布"
"龙湖品质，一线看江 户型方正，业主诚心出售","155万","15,817元/平","98平米","高楼层                                     (共33层)                                                                   2室1厅","未知","未知","新江与城悠澜","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106122138637.html","6人关注","5月前发布"
"大竹林新江与城悠澜 精装房 拎包入住 轻轨6号线","158万","16,289元/平","97平米","高楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106121350496.html","16人关注","7月前发布"
"龙湖品质、一线大阳台    奢装大两房、","155万","15,985元/平","96.97平米","中楼层                                     (共33层)                                                                   2室1厅","未知","未知","新江与城悠澜","重庆渝北","满两年;VR看装修","https://cq.ke.com/ershoufang/106113912759.html","11人关注","2年前发布"
"龙湖悠澜看江两房 视野好 正看江 随时看房 诚意出售","180万","18,557元/平","97平米","中楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106113053664.html","3人关注","2年前发布"
"龙湖品质，清水刚改两房两卫，全线看江","169万","17,423元/平","97平米","中楼层                                     (共27层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106111537004.html","4人关注","3年前发布"
"龙湖品质，业主诚心，环境舒适，户型方正","160万","16,495元/平","97平米","低楼层                                     (共27层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106111343908.html","0人关注","3年前发布"
"地铁6号线旁  金科品质小区  户型方正  视野好","145万","11,329元/平","128平米","4室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106122156839.html","16人关注","5月前发布"
"中间楼层,业主稳定诚心出售！！！","143万","11,186元/平","127.84平米","4室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106121046219.html","7人关注","8月前发布"
"出则繁华，入则宁静，住家舒适，住家方便。","139万","10,892元/平","127.62平米","4室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106120247614.html","34人关注","10月前发布"
"金科天元道砚北B清水三房 中间楼层安静住家","145万","13,015元/平","111.41平米","4室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106119566462.html","4人关注","1年前发布"
"轻轨旁，金科次新房，临公园，朝南正四房","138万","10,815元/平","127.61平米","4室1厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106119422298.html","51人关注","1年前发布"
"中间楼层，采光视野无遮挡，安静不吵","148万","11,597元/平","127.62平米","4室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106118216347.html","29人关注","1年前发布"
"金科品质小区，精装修四房双卫，中层可看江！！！！","147万","11,430元/平","128.61平米","4室2厅","中楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106111916949.html","41人关注","3年前发布"
"金科品质小区，洋房高层一个小区， 户型采光比较好","140万","10,971元/平","127.62平米","4室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106110703042.html","21人关注","3年前发布"
"照母山 大竹林 滨江公园 龙湖看江小区 双卫户型","152万","16,522元/平","92平米","2室1厅","低楼层                                     (共33层)","2017年","新江与城清晖时光","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106112348645.html","6人关注","2年前发布"
"熙溪地 2室1厅 南","135万","16,875元/平","80平米","2室1厅","中楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR房源;新上","https://cq.ke.com/ershoufang/106124149367.html","0人关注","今天发布"
"龙湖清水两房，可随心装修，朝向东南安静","128万","16,105元/平","79.48平米","2室2厅","低楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106123143126.html","0人关注","2月前发布"
"精装两房，看江看公园，业主诚心出售，看房方便","136万","17,599元/平","77.28平米","2室1厅","低楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106121471496.html","0人关注","7月前发布"
"龙湖品质 精装大两房 业主诚心出售","130万","14,555元/平","89.32平米","2室1厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106119819432.html","1人关注","12月前发布"
"临江低密度品质大盘，三大主题公园，生活配套成熟，","130万","16,862元/平","77.1平米","2室2厅","中楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106117618898.html","1人关注","1年前发布"
"龙湖品质社区 住家装修 住家安静舒适 诚心出售 看公园","135万","17,533元/平","77平米","2室2厅","低楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106116380141.html","2人关注","1年前发布"
"龙湖临江低密度大社区 拎包入住","140万","18,180元/平","77.01平米","2室2厅","中楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106114573492.html","3人关注","2年前发布"
"龙湖临江社区看公园两房诚意出售","140万","17,500元/平","80平米","2室2厅","低楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106114249839.html","7人关注","2年前发布"
"大竹林 龙湖品质 精装清新2房 中间楼层 视野看公园","135万","17,497元/平","77.16平米","2室2厅","中楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106111862094.html","9人关注","3年前发布"
"龙湖品质，户型方正，采光充足，环境幽静，适合居家。","148万","11,385元/平","130平米","4室2厅","低楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106109861791.html","58人关注","3年前发布"
"龙湖品质，户型方正，适合居家。","149万","11,462元/平","130平米","4室2厅","低楼层                                     (共33层)","2013年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106105017570.html","40人关注","5年前发布"
"大竹林商业中心 2室1厅 南","100万","10,432元/平","95.86平米","2室1厅","低楼层                                     (共33层)","2010年","大竹林商业中心","重庆渝北","近地铁;满五年;VR看装修;新上","https://cq.ke.com/ershoufang/106124068359.html","0人关注","8天前发布"
"龙湖品质物业 视野开阔采光充足 业主诚心出售","120万","12,487元/平","96.1平米","2室1厅","中楼层                                     (共33层)","2017年","龙湖江与城原山时光","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106122998227.html","16人关注","2月前发布"
"大竹林商业中心 大两室 精装修 近轨道交通方便","108万","11,001元/平","98.18平米","2室2厅","中楼层                                     (共33层)","2010年","大竹林商业中心","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106121602750.html","0人关注","6月前发布"
"近轻轨 电梯房 总价低，低月供 低首付 ，配套成熟，","91万","9,661元/平","94.2平米","低楼层                                     (共26层)                                                                   2室2厅","未知","未知","渝兴新街坊","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106120884562.html","2人关注","8月前发布"
"轻轨精装小三房，配套成熟，拎包入住，适合刚需人群","110万","11,204元/平","98.18平米","2室1厅","低楼层                                     (共33层)","2010年","大竹林商业中心","重庆渝北","近地铁;满两年;VR房源","https://cq.ke.com/ershoufang/106120605819.html","0人关注","9月前发布"
"电梯房 大户型 近轻轨 户型方正 出行方便 采光好","96.8万","10,023元/平","96.58平米","高楼层                                     (共25层)                                                                   2室2厅","未知","未知","渝兴新街坊","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106119094884.html","0人关注","1年前发布"
"轻轨旁精装电梯大两室 配套成熟 出行方便 拎包入住","105万","11,166元/平","94.04平米","高楼层                                     (共26层)                                                                   2室2厅","未知","未知","渝兴新街坊","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106117884175.html","0人关注","1年前发布"
"轻轨精装两房，配套成熟，拎包入住，适合刚需人群","98万","10,459元/平","93.7平米","中楼层                                     (共33层)                                                                   2室1厅","未知","未知","大竹林商业中心","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106114651613.html","1人关注","2年前发布"
"交通方便 配套成熟，出门就是轻轨和底商","105万","10,872元/平","96.58平米","中楼层                                     (共25层)                                                                   2室2厅","未知","未知","渝兴新街坊","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106113390334.html","2人关注","2年前发布"
"轻轨精装两房，配套成熟，拎包入住，适合刚需人群","95万","10,163元/平","93.48平米","2室2厅","低楼层                                     (共33层)","2008年","大竹林商业中心","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106112441145.html","8人关注","2年前发布"
"龙湖 新江与城悠澜 看江 精装两房 诚心出售","145万","16,667元/平","87平米","中楼层                                     (共20层)                                                                   2室1厅","未知","未知","新江与城悠澜","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106123168217.html","2人关注","2月前发布"
"龙湖品质，次新小区，临江+公园，近地铁，出行方便","129万","14,686元/平","87.84平米","中楼层                                     (共20层)                                                                   2室1厅","未知","未知","新江与城悠澜","重庆渝北","满两年;VR房源;随时看房","https://cq.ke.com/ershoufang/106117067237.html","3人关注","1年前发布"
"龙湖品质楼盘,视野好，采光充足，户型方正","128万","14,713元/平","87平米","中楼层                                     (共20层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106116606456.html","3人关注","1年前发布"
"看江二改三户型，户型方正，高楼层，视野开阔","138万","15,863元/平","87平米","高楼层                                     (共20层)                                                                   2室1厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106112329301.html","10人关注","2年前发布"
"龙湖 美式装修 一线 看江 看公园 四房","140万","10,448元/平","134平米","4室2厅","高楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106123782459.html","21人关注","30天前发布"
"精装房带书房   业主诚心出售  环境好","145万","11,198元/平","129.49平米","4室2厅","中楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106123492130.html","0人关注","1月前发布"
"龙湖品质出行便捷精装修低楼层树景房","146万","10,951元/平","133.33平米","4室2厅","低楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106123132962.html","1人关注","2月前发布"
"此房采光好 视野好 交通便利 近商圈","146万","10,286元/平","141.95平米","4室1厅","低楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106122918572.html","5人关注","3月前发布"
